Local time,Open,High,Low,Close,Volume
01.08.2023 01:38:00.000 GMT+0200,1.09983,1.09983,1.09977,1.09977,45.63
01.08.2023 01:39:00.000 GMT+0200,1.09976,1.09976,1.09971,1.09971,67.56
01.08.2023 01:40:00.000 GMT+0200,1.09971,1.09974,1.09969,1.09970,59.69
01.08.2023 01:41:00.000 GMT+0200,1.09971,1.09971,1.09969,1.09969,25.65
01.08.2023 01:42:00.000 GMT+0200,1.09970,1.09970,1.09969,1.09969,35.04
01.08.2023 01:43:00.000 GMT+0200,1.09969,1.09974,1.09968,1.09970,60
01.08.2023 01:44:00.000 GMT+0200,1.09969,1.09970,1.09967,1.09967,35.15
01.08.2023 01:45:00.000 GMT+0200,1.09968,1.09976,1.09968,1.09971,32.69
01.08.2023 01:46:00.000 GMT+0200,1.09971,1.09975,1.09971,1.09974,28.77
01.08.2023 01:47:00.000 GMT+0200,1.09975,1.09976,1.09974,1.09975,75.23
01.08.2023 01:48:00.000 GMT+0200,1.09974,1.09976,1.09974,1.09975,83.82
01.08.2023 01:49:00.000 GMT+0200,1.09975,1.09976,1.09974,1.09974,40.62
01.08.2023 01:50:00.000 GMT+0200,1.09974,1.09975,1.09972,1.09975,33
01.08.2023 01:51:00.000 GMT+0200,1.09974,1.09975,1.09974,1.09975,4.44
01.08.2023 01:52:00.000 GMT+0200,1.09974,1.09974,1.09972,1.09972,37.98
01.08.2023 01:53:00.000 GMT+0200,1.09971,1.09987,1.09971,1.09986,75.46
01.08.2023 01:54:00.000 GMT+0200,1.09986,1.09986,1.09980,1.09981,79.83
01.08.2023 01:55:00.000 GMT+0200,1.09980,1.09981,1.09980,1.09981,30.96
01.08.2023 01:56:00.000 GMT+0200,1.09980,1.09981,1.09980,1.09980,12.78
01.08.2023 01:57:00.000 GMT+0200,1.09980,1.09980,1.09974,1.09974,43.79
01.08.2023 01:58:00.000 GMT+0200,1.09975,1.09975,1.09968,1.09968,44.58
01.08.2023 01:59:00.000 GMT+0200,1.09968,1.09970,1.09966,1.09966,105.23
01.08.2023 02:00:00.000 GMT+0200,1.09967,1.09973,1.09956,1.09967,288.5
01.08.2023 02:01:00.000 GMT+0200,1.09969,1.09982,1.09969,1.09982,166.19
01.08.2023 02:02:00.000 GMT+0200,1.09982,1.09992,1.09976,1.09991,345.8
01.08.2023 02:03:00.000 GMT+0200,1.09992,1.10010,1.09992,1.10006,310.61
01.08.2023 02:04:00.000 GMT+0200,1.10006,1.10006,1.09990,1.09990,131.55
01.08.2023 02:05:00.000 GMT+0200,1.09992,1.09996,1.09988,1.09995,160.2
01.08.2023 02:06:00.000 GMT+0200,1.09993,1.10009,1.09993,1.10009,114.05
01.08.2023 02:07:00.000 GMT+0200,1.10008,1.10015,1.10007,1.10015,88.4
01.08.2023 02:08:00.000 GMT+0200,1.10015,1.10015,1.09997,1.09999,208.85
01.08.2023 02:09:00.000 GMT+0200,1.10000,1.10000,1.09995,1.09995,162.83
01.08.2023 02:10:00.000 GMT+0200,1.09994,1.09999,1.09989,1.09998,217.5
01.08.2023 02:11:00.000 GMT+0200,1.09999,1.10008,1.09994,1.09995,194.02
01.08.2023 02:12:00.000 GMT+0200,1.09995,1.09995,1.09985,1.09990,102.75
01.08.2023 02:13:00.000 GMT+0200,1.09991,1.09992,1.09986,1.09986,77.4
01.08.2023 02:14:00.000 GMT+0200,1.09985,1.09985,1.09968,1.09974,241.1
01.08.2023 02:15:00.000 GMT+0200,1.09974,1.09974,1.09965,1.09968,173.55
01.08.2023 02:16:00.000 GMT+0200,1.09966,1.09971,1.09966,1.09970,121.27
01.08.2023 02:17:00.000 GMT+0200,1.09969,1.09978,1.09969,1.09976,130.8
01.08.2023 02:18:00.000 GMT+0200,1.09978,1.09989,1.09978,1.09987,119.9
01.08.2023 02:19:00.000 GMT+0200,1.09987,1.09987,1.09980,1.09980,107.05
01.08.2023 02:20:00.000 GMT+0200,1.09979,1.09980,1.09979,1.09980,18.18
01.08.2023 02:21:00.000 GMT+0200,1.09975,1.09975,1.09969,1.09974,168.19
01.08.2023 02:22:00.000 GMT+0200,1.09973,1.09982,1.09972,1.09981,138.35
01.08.2023 02:23:00.000 GMT+0200,1.09981,1.09981,1.09975,1.09978,71.05
01.08.2023 02:24:00.000 GMT+0200,1.09976,1.09977,1.09965,1.09967,139.4
01.08.2023 02:25:00.000 GMT+0200,1.09967,1.09967,1.09948,1.09950,270.4
01.08.2023 02:26:00.000 GMT+0200,1.09949,1.09950,1.09939,1.09945,159.23
01.08.2023 02:27:00.000 GMT+0200,1.09945,1.09945,1.09913,1.09921,263.75
01.08.2023 02:28:00.000 GMT+0200,1.09919,1.09929,1.09918,1.09929,215.65
01.08.2023 02:29:00.000 GMT+0200,1.09930,1.09930,1.09924,1.09925,84
01.08.2023 02:30:00.000 GMT+0200,1.09928,1.09941,1.09927,1.09940,219.05
01.08.2023 02:31:00.000 GMT+0200,1.09938,1.09944,1.09936,1.09941,130.91
01.08.2023 02:32:00.000 GMT+0200,1.09942,1.09944,1.09939,1.09943,135.77
01.08.2023 02:33:00.000 GMT+0200,1.09944,1.09944,1.09939,1.09940,111.95
01.08.2023 02:34:00.000 GMT+0200,1.09939,1.09939,1.09930,1.09935,131.2
01.08.2023 02:35:00.000 GMT+0200,1.09936,1.09936,1.09933,1.09933,49.25
01.08.2023 02:36:00.000 GMT+0200,1.09933,1.09935,1.09933,1.09934,22.5
01.08.2023 02:37:00.000 GMT+0200,1.09933,1.09941,1.09932,1.09935,153.16
01.08.2023 02:38:00.000 GMT+0200,1.09934,1.09934,1.09926,1.09928,151.67
01.08.2023 02:39:00.000 GMT+0200,1.09929,1.09930,1.09920,1.09924,132.88
01.08.2023 02:40:00.000 GMT+0200,1.09923,1.09925,1.09919,1.09919,139.32
01.08.2023 02:41:00.000 GMT+0200,1.09918,1.09920,1.09917,1.09920,108.03
01.08.2023 02:42:00.000 GMT+0200,1.09921,1.09928,1.09921,1.09926,33.95
01.08.2023 02:43:00.000 GMT+0200,1.09926,1.09927,1.09922,1.09927,91.73
01.08.2023 02:44:00.000 GMT+0200,1.09927,1.09927,1.09918,1.09918,71.99
01.08.2023 02:45:00.000 GMT+0200,1.09918,1.09926,1.09918,1.09924,47.45
01.08.2023 02:46:00.000 GMT+0200,1.09924,1.09935,1.09924,1.09928,134.5
01.08.2023 02:47:00.000 GMT+0200,1.09926,1.09927,1.09922,1.09927,124.75
01.08.2023 02:48:00.000 GMT+0200,1.09931,1.09933,1.09924,1.09925,97.5
01.08.2023 02:49:00.000 GMT+0200,1.09925,1.09927,1.09920,1.09925,64.75
01.08.2023 02:50:00.000 GMT+0200,1.09925,1.09927,1.09910,1.09915,386.3
01.08.2023 02:51:00.000 GMT+0200,1.09916,1.09927,1.09916,1.09920,199.9
01.08.2023 02:52:00.000 GMT+0200,1.09921,1.09931,1.09921,1.09929,223.2
01.08.2023 02:53:00.000 GMT+0200,1.09929,1.09929,1.09917,1.09917,337.25
01.08.2023 02:54:00.000 GMT+0200,1.09917,1.09918,1.09904,1.09904,448.9
01.08.2023 02:55:00.000 GMT+0200,1.09903,1.09910,1.09901,1.09908,164.15
01.08.2023 02:56:00.000 GMT+0200,1.09909,1.09910,1.09898,1.09907,255.39
01.08.2023 02:57:00.000 GMT+0200,1.09906,1.09906,1.09893,1.09893,311.39
01.08.2023 02:58:00.000 GMT+0200,1.09894,1.09895,1.09882,1.09889,347.5
01.08.2023 02:59:00.000 GMT+0200,1.09889,1.09890,1.09885,1.09888,175.03
01.08.2023 03:00:00.000 GMT+0200,1.09887,1.09889,1.09876,1.09876,369.19
01.08.2023 03:01:00.000 GMT+0200,1.09876,1.09880,1.09876,1.09878,140.05
01.08.2023 03:02:00.000 GMT+0200,1.09879,1.09884,1.09878,1.09883,178.93
01.08.2023 03:03:00.000 GMT+0200,1.09883,1.09887,1.09882,1.09884,113.89
01.08.2023 03:04:00.000 GMT+0200,1.09883,1.09886,1.09876,1.09879,200.25
01.08.2023 03:05:00.000 GMT+0200,1.09878,1.09895,1.09876,1.09894,192.3
01.08.2023 03:06:00.000 GMT+0200,1.09895,1.09896,1.09886,1.09892,76.9
01.08.2023 03:07:00.000 GMT+0200,1.09890,1.09904,1.09889,1.09902,145.95
01.08.2023 03:08:00.000 GMT+0200,1.09902,1.09908,1.09902,1.09904,120.6
01.08.2023 03:09:00.000 GMT+0200,1.09905,1.09905,1.09894,1.09895,72.65
01.08.2023 03:10:00.000 GMT+0200,1.09895,1.09896,1.09880,1.09883,130
01.08.2023 03:11:00.000 GMT+0200,1.09884,1.09889,1.09880,1.09888,129.1
01.08.2023 03:12:00.000 GMT+0200,1.09888,1.09890,1.09886,1.09888,94.4
01.08.2023 03:13:00.000 GMT+0200,1.09889,1.09895,1.09885,1.09895,75.35
